Year,Population,GDP Agriculture,GDP Per Capita,Domestic Consumer Account,Average Electricity Price,Electricity Sales,Electricity Classes,GDP Service,,,
1978,14.33,129300.91,95343.65,111384.25,2.24,185.00,1.00,831529.65,,,
1979,14.61,137474.63,99438.28,139815.30,2.85,230.00,1.00,884094.59,,,
1980,14.87,145455.16,103381.48,165192.56,4.35,256.00,2.00,935417.09,,,
1981,15.09,153859.24,107752.92,191899.80,6.02,257.00,3.00,989463.41,,,
1982,15.30,161661.43,111633.76,224369.22,9.18,303.00,5.00,1039639.04,,,
1983,15.51,169679.70,115621.78,255799.15,7.91,334.00,4.00,1091204.28,,,
1984,15.72,178251.20,119835.84,296461.63,7.09,344.00,4.00,1146327.25,,,
1985,15.98,187087.35,123737.32,352486.00,7.57,393.00,4.00,1203152.23,,,
1986,16.24,195097.08,126953.02,421503.00,7.72,430.00,4.00,1254662.56,,,
1987,16.47,197933.19,126965.08,476725.00,7.23,496.00,4.00,1272901.46,,,
1988,16.70,203274.15,128653.40,537318.00,7.19,527.00,4.00,1307249.00,,,
1989,16.90,207848.46,129964.43,613659.00,5.78,557.00,3.00,1336666.22,,,
1990,17.12,220680.09,136210.61,783362.00,5.78,655.00,3.00,1419185.97,,,
1991,17.32,230856.60,140858.49,909563.00,6.14,678.00,3.00,1484630.78,,,
1992,17.46,240736.01,145678.26,1091250.00,6.77,708.00,3.00,1548164.94,,,
1993,17.61,257457.26,154515.40,1274397.00,7.46,762.00,4.00,1655698.66,,,
1994,17.75,271946.84,161868.96,1424065.00,8.68,711.00,4.00,1748880.65,,,
1995,17.90,286774.49,169290.67,1538015.00,8.01,785.00,4.00,1844236.80,,,
1996,18.05,297545.21,174204.11,1695485.00,5.92,858.00,3.00,1913502.88,,,
1997,18.20,316284.21,183652.10,1852321.00,6.12,950.00,3.00,2034012.75,,,
1998,18.35,331262.50,190767.16,2035459.00,6.78,981.00,3.00,2130337.62,,,
1999,18.50,345604.17,197389.14,2248484.00,6.88,1066.00,3.00,2222568.40,,,
2000,18.65,366423.62,207558.57,2472553.00,6.81,1173.00,3.00,2356457.57,,,
2001,18.87,360762.46,202028.43,2660033.00,7.22,1153.00,4.00,2320050.82,,,
2002,19.08,375065.65,207769.16,2800996.00,8.09,1285.00,4.00,2412034.15,,,
2003,19.21,397644.03,218698.37,2978317.00,9.50,1260.00,5.00,2557234.95,,,
2004,19.35,419295.99,228954.44,3164670.00,8.06,1436.00,4.00,2696477.96,,,
2005,19.49,445467.39,241502.45,3340147.00,7.62,1512.00,4.00,2864785.32,,,
2006,19.63,479627.13,258158.63,3563373.00,7.74,1692.00,4.00,3084465.42,,,
2007,19.77,512226.55,273729.92,3785909.00,7.23,1942.00,4.00,3294111.18,,,
2008,19.92,542704.49,287939.25,3992071.00,7.14,2047.00,4.00,3490113.70,,,
2009,20.06,561910.32,295993.21,4179278.00,7.80,2129.00,4.00,3613625.75,,,
2010,20.21,544914.00,317429.26,4365687.00,6.04,2292.00,3.00,3504323.00,,,
2011,20.35,569954.00,341642.97,4578596.00,6.64,2510.00,3.00,3817155.00,,,
2012,20.50,592443.00,370144.48,4810595.00,7.60,2645.00,4.00,4245461.00,,,
2013,20.68,611676.00,379501.91,5024077.00,7.43,2783.00,4.00,4405644.00,,,
2014,20.87,639696.00,394634.45,5208359.00,7.27,3014.00,4.00,4618501.00,,,
2015,21.08,669725.00,410151.20,5415339.00,6.20,3213.00,3.00,4894717.00,,,
2016,21.32,644262.00,423749.85,5700895.00,5.95,3575.00,3.00,5124016.00,,,
2017,21.56,639273.00,433494.41,5892999.00,5.50,3859.00,3.00,5289227.00,,,
2018,21.67,672923.00,445072.82,5901544.00,6.07,4060.00,3.00,5560949.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
